Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[ZW | 29.4%],[CO | 18.3%],[ZS | 16.3%],[LE | 11.1%],[NG | 8.5%],[ZW | 17.6%],[ZS | 13.3%],[LE | 12.8%],[CO | 11.3%],[NG | 7.8%]
2017-12-01,[HO | 28.2%],[CO | 15.7%],[SV | 15.2%],[NG | 11.5%],[CC | 7.6%],[HO | 13.8%],[SV | 10.9%],[GD | 10.0%],[CO | 9.5%],[NG | 8.7%]
2018-01-01,[CO | 38.3%],[NG | 19.6%],[HO | 11.0%],[ZW | 9.3%],[LE | 7.5%],[CO | 13.9%],[LE | 12.3%],[ZW | 11.2%],[HO | 9.7%],[ZS | 9.2%]
2018-02-01,[NG | 29.5%],[HE | 24.9%],[SU | 11.6%],[ZW | 9.7%],[CC | 7.0%],[NG | 13.7%],[HE | 12.9%],[SU | 9.4%],[CC | 8.8%],[ZW | 8.2%]
2018-03-01,[SU | 82.4%],[CF | 3.6%],[CC | 3.4%],[GD | 3.2%],[ZW | 1.8%],[SU | 21.2%],[CF | 10.0%],[GD | 9.8%],[CC | 9.3%],[ZS | 8.7%]
2018-04-01,[SU | 36.1%],[SV | 11.3%],[ZW | 10.3%],[CP | 9.6%],[CT | 6.8%],[SU | 13.6%],[SV | 10.0%],[ZW | 9.6%],[GD | 9.0%],[CP | 8.8%]
2018-05-01,[CT | 42.5%],[CF | 13.5%],[SU | 12.5%],[SV | 10.5%],[CP | 7.6%],[CT | 17.2%],[SU | 11.7%],[CF | 10.7%],[CP | 8.9%],[GD | 7.7%]
2018-06-01,[SV | 28.8%],[CT | 24.9%],[ZC | 11.3%],[ZW | 7.4%],[HE | 7.3%],[SV | 15.2%],[CT | 11.9%],[GD | 10.3%],[ZC | 9.1%],[HE | 7.9%]
2018-07-01,[NG | 23.7%],[CO | 16.3%],[ZC | 15.5%],[CT | 11.2%],[HE | 9.6%],[ZC | 11.6%],[HE | 10.6%],[CT | 10.6%],[NG | 10.3%],[CO | 8.9%]
2018-08-01,[NG | 27.7%],[LE | 19.3%],[HE | 12.8%],[ZW | 10.8%],[CP | 4.2%],[LE | 13.0%],[NG | 10.3%],[HE | 9.8%],[CP | 7.9%],[SU | 7.0%]
2018-09-01,[ZS | 46.5%],[ZW | 10.9%],[SV | 10.0%],[ZC | 8.4%],[CP | 5.3%],[ZS | 16.4%],[ZW | 9.9%],[SV | 9.7%],[ZC | 7.8%],[CF | 7.8%]
2018-10-01,[NG | 32.5%],[CO | 14.0%],[CC | 12.0%],[HO | 10.5%],[CP | 10.4%],[NG | 11.3%],[HO | 9.6%],[CC | 9.1%],[GD | 9.1%],[CP | 8.9%]
2018-11-01,[HO | 21.8%],[SU | 15.3%],[ZC | 14.6%],[CO | 12.7%],[NG | 5.6%],[HO | 12.2%],[SU | 10.0%],[CO | 9.7%],[ZC | 8.4%],[CF | 7.2%]
2018-12-01,[HO | 23.5%],[CO | 15.9%],[SV | 14.9%],[NG | 12.9%],[CC | 9.9%],[HO | 10.9%],[GD | 10.1%],[CC | 9.4%],[CO | 9.2%],[SV | 9.1%]
2019-01-01,[NG | 25.4%],[CO | 23.8%],[ZW | 9.5%],[HO | 8.7%],[CP | 8.6%],[CO | 11.0%],[LE | 11.0%],[NG | 10.5%],[CP | 9.6%],[HO | 8.8%]
2019-02-01,[NG | 45.6%],[HE | 11.0%],[SU | 9.6%],[ZW | 9.1%],[CC | 4.6%],[NG | 15.1%],[HE | 12.1%],[SU | 9.6%],[CC | 7.8%],[ZW | 7.6%]
2019-03-01,[SU | 82.2%],[GD | 3.2%],[NG | 3.0%],[ZW | 2.6%],[CF | 1.8%],[SU | 20.4%],[GD | 8.0%],[ZW | 7.8%],[ZS | 7.1%],[CF | 6.8%]
2019-04-01,[SU | 39.2%],[CP | 12.4%],[HE | 12.3%],[SV | 7.1%],[CT | 5.3%],[SU | 13.8%],[HE | 10.2%],[CP | 9.6%],[LE | 9.0%],[SV | 8.0%]
2019-05-01,[CT | 25.5%],[CF | 13.4%],[SV | 13.0%],[CP | 9.7%],[CC | 7.2%],[CF | 11.8%],[CT | 11.8%],[CP | 9.4%],[GD | 8.5%],[SV | 8.2%]
2019-06-01,[ZC | 28.6%],[CT | 27.9%],[SV | 17.2%],[ZW | 7.7%],[HO | 4.2%],[CT | 16.4%],[ZC | 13.7%],[SV | 11.1%],[GD | 8.7%],[CP | 7.2%]
2019-07-01,[HE | 49.6%],[CO | 16.4%],[NG | 8.6%],[CT | 5.7%],[HO | 5.5%],[HE | 17.6%],[CT | 9.2%],[CO | 8.6%],[HO | 8.6%],[NG | 7.8%]
2019-08-01,[NG | 21.2%],[LE | 19.7%],[ZW | 15.3%],[HE | 10.0%],[CF | 8.2%],[LE | 13.7%],[NG | 10.5%],[HE | 9.6%],[ZW | 9.4%],[CP | 8.3%]
2019-09-01,[ZS | 32.1%],[ZW | 19.1%],[SV | 12.6%],[ZC | 11.4%],[GD | 5.6%],[ZS | 16.5%],[ZW | 11.6%],[ZC | 9.6%],[SV | 8.9%],[GD | 8.4%]
2019-10-01,[NG | 47.4%],[CO | 13.2%],[HO | 9.4%],[SV | 7.8%],[CC | 5.8%],[NG | 14.4%],[CO | 11.4%],[HO | 10.4%],[SV | 8.4%],[CC | 8.2%]
2019-11-01,[HO | 26.1%],[CO | 16.6%],[SU | 12.6%],[CC | 10.1%],[ZC | 7.9%],[HO | 15.0%],[CO | 12.6%],[SU | 9.3%],[CF | 7.7%],[CC | 7.6%]
2019-12-01,[NG | 29.6%],[CC | 12.7%],[SV | 11.6%],[HO | 11.5%],[CO | 8.9%],[NG | 12.3%],[GD | 9.6%],[HO | 9.3%],[SV | 8.8%],[CO | 8.6%]
2020-01-01,[NG | 22.5%],[ZW | 12.4%],[CO | 9.5%],[ZS | 8.7%],[SU | 7.8%],[LE | 10.5%],[NG | 10.5%],[ZW | 8.7%],[CO | 8.5%],[ZS | 8.2%]
2020-02-01,[NG | 43.8%],[HE | 16.2%],[ZW | 12.3%],[SU | 11.6%],[CF | 5.8%],[NG | 13.4%],[ZW | 11.3%],[HE | 10.6%],[SU | 7.7%],[CF | 7.7%]
2020-03-01,[SU | 68.0%],[ZC | 6.5%],[ZW | 4.3%],[CP | 4.1%],[CF | 3.9%],[SU | 16.0%],[GD | 9.2%],[CF | 7.7%],[ZS | 7.4%],[ZC | 7.2%]
2020-04-01,[SU | 49.8%],[CP | 11.7%],[CT | 9.9%],[LE | 5.6%],[ZW | 5.3%],[SU | 12.1%],[CP | 9.4%],[LE | 8.9%],[SV | 8.4%],[CF | 8.0%]
2020-05-01,[CT | 24.0%],[SV | 22.1%],[CO | 12.2%],[CP | 10.3%],[CF | 7.0%],[CP | 11.1%],[CT | 10.4%],[LE | 8.9%],[SV | 8.5%],[CF | 7.8%]
2020-06-01,[CT | 39.3%],[ZC | 19.6%],[SV | 12.0%],[CP | 6.5%],[ZW | 5.7%],[CT | 10.7%],[ZC | 10.0%],[ZW | 8.8%],[SV | 8.0%],[ZS | 7.2%]
2020-07-01,[HE | 38.6%],[CO | 13.1%],[CT | 11.9%],[NG | 6.5%],[ZC | 5.9%],[HE | 12.1%],[ZC | 8.3%],[CT | 8.3%],[GD | 7.3%],[CO | 7.1%]
2020-08-01,[SU | 21.0%],[LE | 20.2%],[ZW | 14.7%],[CP | 8.8%],[CF | 7.0%],[LE | 10.0%],[CP | 9.8%],[ZC | 7.9%],[ZW | 7.8%],[CC | 7.8%]
2020-09-01,[SV | 34.2%],[ZS | 16.8%],[GD | 15.0%],[ZC | 9.2%],[ZW | 6.6%],[GD | 10.7%],[SV | 10.3%],[ZS | 10.1%],[ZC | 8.3%],[CP | 7.7%]
2020-10-01,[NG | 31.1%],[CO | 15.9%],[CC | 11.8%],[HO | 10.1%],[HE | 8.1%],[NG | 11.8%],[HO | 10.0%],[CC | 9.3%],[HE | 9.0%],[CO | 8.8%]
2020-11-01,[ZC | 16.8%],[HO | 15.3%],[SV | 15.0%],[GD | 11.4%],[CO | 10.1%],[HO | 10.7%],[GD | 9.9%],[CO | 9.6%],[ZC | 9.5%],[SU | 8.5%]
2020-12-01,[NG | 57.7%],[CC | 19.5%],[HO | 4.9%],[SV | 3.5%],[CO | 3.4%],[NG | 13.7%],[CC | 10.9%],[GD | 8.2%],[HO | 8.0%],[CO | 7.7%]
2021-01-01,[NG | 25.0%],[HE | 12.9%],[CO | 12.0%],[HO | 8.7%],[CP | 7.9%],[NG | 10.5%],[HO | 9.6%],[CP | 8.9%],[LE | 7.9%],[ZW | 7.6%]
2021-02-01,[NG | 44.5%],[HE | 17.1%],[ZW | 16.4%],[CO | 4.8%],[SV | 4.7%],[NG | 14.3%],[HE | 12.1%],[ZW | 9.5%],[CF | 7.7%],[LE | 7.4%]
2021-03-01,[SU | 50.4%],[CO | 13.4%],[CP | 9.8%],[HO | 7.8%],[SV | 4.0%],[SU | 18.6%],[CP | 8.0%],[LE | 7.9%],[HO | 7.4%],[GD | 7.4%]
2021-04-01,[SU | 32.4%],[LE | 12.6%],[ZW | 11.3%],[ZC | 7.6%],[HE | 7.6%],[SU | 13.9%],[ZW | 9.3%],[CT | 8.4%],[LE | 8.2%],[HE | 8.0%]
2021-05-01,[CT | 25.0%],[CF | 19.0%],[NG | 13.6%],[CP | 10.6%],[SV | 8.3%],[CT | 13.7%],[CF | 10.2%],[GD | 10.1%],[CP | 9.0%],[NG | 8.0%]
2021-06-01,[CT | 22.0%],[ZC | 17.5%],[SV | 14.1%],[HE | 13.6%],[ZW | 10.1%],[CT | 12.1%],[SV | 9.5%],[ZC | 8.1%],[HE | 7.5%],[ZW | 7.1%]
2021-07-01,[HE | 40.9%],[CO | 14.9%],[ZC | 11.1%],[NG | 7.1%],[ZW | 6.0%],[HE | 14.6%],[CO | 10.3%],[ZS | 8.5%],[NG | 8.5%],[ZC | 8.4%]
2021-08-01,[LE | 35.6%],[SU | 20.0%],[ZW | 14.3%],[CP | 6.7%],[CT | 6.0%],[LE | 16.3%],[ZW | 11.3%],[SU | 11.0%],[CP | 8.4%],[CT | 7.8%]
2021-09-01,[SV | 43.9%],[GD | 14.5%],[ZS | 8.3%],[CT | 8.3%],[ZC | 5.4%],[SV | 17.1%],[GD | 12.7%],[ZS | 9.6%],[ZC | 8.1%],[CT | 7.9%]
2021-10-01,[CO | 31.8%],[HO | 14.3%],[NG | 14.3%],[CC | 11.8%],[CF | 9.8%],[CO | 15.3%],[HO | 11.5%],[NG | 9.7%],[CC | 8.0%],[CF | 8.0%]
2021-11-01,[SV | 40.1%],[GD | 18.9%],[ZW | 8.1%],[ZC | 7.4%],[SU | 5.5%],[SV | 18.7%],[GD | 15.5%],[ZC | 8.1%],[HO | 7.8%],[ZW | 7.6%]
2021-12-01,[NG | 60.9%],[CC | 24.2%],[CF | 3.4%],[HO | 2.5%],[CO | 2.4%],[NG | 25.4%],[CC | 13.5%],[CF | 7.6%],[HO | 6.8%],[CO | 5.4%]
2022-01-01,[NG | 24.7%],[HE | 16.7%],[CO | 9.0%],[HO | 8.6%],[CF | 7.8%],[NG | 13.5%],[HE | 9.2%],[CO | 8.9%],[HO | 8.8%],[CP | 8.3%]
2022-02-01,[NG | 44.6%],[SV | 14.3%],[ZW | 13.9%],[HE | 6.2%],[CT | 5.0%],[NG | 21.2%],[ZW | 11.1%],[SV | 10.9%],[HE | 6.9%],[CF | 6.8%]
2022-03-01,[SU | 45.5%],[CO | 12.0%],[HO | 11.8%],[SV | 10.2%],[CP | 8.0%],[SU | 24.1%],[HO | 9.2%],[SV | 9.0%],[CO | 8.5%],[CP | 8.4%]
2022-04-01,[SV | 21.0%],[LE | 16.7%],[CF | 14.2%],[SU | 8.6%],[ZW | 8.5%],[LE | 12.8%],[SV | 11.0%],[CF | 8.4%],[SU | 8.2%],[HE | 8.2%]
2022-05-01,[CT | 56.5%],[NG | 20.6%],[CP | 4.7%],[CF | 4.5%],[ZW | 2.6%],[CT | 23.4%],[NG | 11.3%],[CP | 8.5%],[ZS | 8.1%],[CF | 6.9%]
2022-06-01,[HE | 28.7%],[CT | 17.1%],[SV | 12.0%],[CC | 9.5%],[ZC | 7.7%],[HE | 12.6%],[CT | 11.3%],[SV | 10.3%],[CC | 8.3%],[ZC | 8.2%]
2022-07-01,[HE | 44.2%],[ZC | 20.5%],[CO | 12.3%],[ZS | 5.6%],[ZW | 4.1%],[HE | 21.2%],[ZC | 13.0%],[CO | 9.9%],[ZS | 9.6%],[ZW | 6.3%]
2022-08-01,[LE | 24.2%],[ZW | 22.0%],[CF | 13.3%],[ZC | 12.8%],[SU | 9.2%],[LE | 15.2%],[ZW | 14.5%],[ZC | 10.3%],[CF | 10.0%],[SU | 8.2%]
2022-09-01,[SV | 42.3%],[GD | 17.3%],[ZS | 7.7%],[CT | 6.7%],[CF | 6.5%],[SV | 19.8%],[GD | 14.8%],[ZS | 9.6%],[CF | 7.7%],[ZC | 6.6%]
2022-10-01,[CO | 30.1%],[NG | 21.8%],[HO | 15.9%],[CC | 12.7%],[CF | 5.4%],[CO | 14.5%],[NG | 12.0%],[HO | 11.9%],[CC | 10.5%],[GD | 7.2%]
2022-11-01,[SV | 33.5%],[GD | 22.7%],[CO | 15.2%],[HO | 10.7%],[ZC | 4.6%],[GD | 16.5%],[SV | 15.8%],[HO | 9.5%],[CO | 8.8%],[ZC | 7.7%]
2022-12-01,[NG | 77.3%],[CC | 9.7%],[CF | 4.9%],[SU | 2.0%],[ZW | 1.7%],[NG | 26.6%],[CF | 9.6%],[CC | 9.5%],[CO | 6.6%],[HO | 6.6%]
2023-01-01,[CP | 17.1%],[CC | 15.5%],[HE | 14.0%],[SU | 10.6%],[LE | 10.0%],[CP | 12.7%],[CC | 12.5%],[LE | 10.9%],[HE | 9.9%],[SU | 8.6%]
2023-02-01,[NG | 55.3%],[SV | 14.0%],[CO | 5.1%],[CT | 4.9%],[LE | 4.0%],[NG | 25.8%],[SV | 10.7%],[LE | 8.5%],[CT | 7.3%],[CF | 6.4%]
2023-03-01,[SU | 41.8%],[CO | 21.8%],[SV | 8.7%],[HO | 7.4%],[CP | 6.5%],[SU | 24.5%],[CO | 11.9%],[SV | 9.8%],[HO | 8.1%],[CP | 7.4%]
2023-04-01,[SV | 26.0%],[LE | 21.3%],[CF | 15.5%],[HE | 11.6%],[CO | 6.3%],[LE | 13.9%],[SV | 13.7%],[HE | 11.5%],[CF | 10.5%],[CP | 6.9%]
2023-05-01,[CT | 47.0%],[NG | 16.5%],[CP | 5.8%],[CF | 5.8%],[SU | 4.2%],[CT | 22.8%],[CP | 9.5%],[NG | 9.2%],[CF | 7.0%],[CC | 7.0%]
2023-06-01,[CT | 20.7%],[ZC | 19.3%],[HE | 16.8%],[CC | 14.1%],[NG | 7.5%],[CT | 15.3%],[ZC | 12.2%],[HE | 10.8%],[CC | 9.9%],[SV | 6.7%]
2023-07-01,[ZC | 59.1%],[ZW | 9.2%],[HE | 8.7%],[CO | 7.7%],[SU | 6.0%],[ZC | 26.8%],[HE | 11.3%],[ZS | 9.5%],[ZW | 8.7%],[CO | 7.7%]
2023-08-01,[LE | 30.6%],[ZW | 21.4%],[ZS | 13.4%],[ZC | 8.2%],[CO | 6.1%],[LE | 18.6%],[ZW | 12.6%],[ZS | 9.7%],[ZC | 9.0%],[CP | 7.5%]
2023-09-01,[SV | 36.5%],[GD | 34.3%],[CF | 5.7%],[CT | 5.5%],[HO | 4.2%],[GD | 23.1%],[SV | 18.8%],[HO | 6.9%],[CT | 6.8%],[CF | 6.6%]
2023-10-01,[NG | 33.9%],[CO | 18.8%],[CC | 12.4%],[CF | 12.1%],[HO | 6.5%],[NG | 17.6%],[CO | 13.9%],[CF | 11.2%],[CC | 10.2%],[HO | 6.8%]
2023-11-01,[CO | 27.3%],[SV | 22.8%],[HO | 16.1%],[GD | 14.1%],[ZC | 6.8%],[CO | 15.0%],[SV | 14.7%],[GD | 14.1%],[HO | 11.9%],[ZC | 8.3%]
2023-12-01,[NG | 87.4%],[CF | 4.8%],[CC | 3.2%],[SU | 1.9%],[CO | 0.9%],[NG | 32.9%],[CF | 8.6%],[CO | 8.5%],[CC | 7.4%],[HO | 7.0%]
2024-01-01,[HE | 21.3%],[CC | 14.2%],[NG | 13.5%],[HO | 11.2%],[CO | 9.7%],[CC | 12.6%],[HE | 12.0%],[HO | 9.7%],[NG | 9.3%],[CO | 8.5%]
2024-02-01,[NG | 48.5%],[SV | 20.0%],[CT | 8.4%],[CO | 5.0%],[LE | 3.2%],[NG | 23.3%],[SV | 13.3%],[CT | 9.3%],[LE | 6.8%],[CO | 6.0%]
2024-03-01,[CO | 37.8%],[SU | 25.6%],[HO | 13.7%],[CF | 6.2%],[CP | 5.5%],[SU | 18.9%],[CO | 16.5%],[HO | 10.5%],[CF | 7.3%],[CP | 6.4%]
2024-04-01,[LE | 20.5%],[HE | 14.0%],[ZW | 12.7%],[SV | 10.5%],[CF | 9.2%],[LE | 12.3%],[HE | 9.5%],[ZW | 9.2%],[SV | 8.9%],[CC | 8.1%]
2024-05-01,[CT | 21.3%],[CP | 19.8%],[NG | 16.8%],[ZS | 12.1%],[ZW | 6.3%],[CT | 14.3%],[CP | 13.7%],[ZS | 10.9%],[NG | 8.7%],[ZW | 7.0%]
2024-06-01,[CT | 29.1%],[ZC | 22.1%],[HE | 13.0%],[CC | 11.3%],[CF | 5.6%],[CT | 15.5%],[ZC | 11.9%],[HE | 9.6%],[CC | 9.4%],[SU | 6.8%]
2024-07-01,[ZC | 48.6%],[ZW | 15.3%],[CO | 10.5%],[ZS | 7.6%],[SU | 6.9%],[ZC | 22.2%],[ZW | 10.9%],[ZS | 10.9%],[HE | 9.2%],[CO | 9.2%]
2024-08-01,[ZW | 27.6%],[LE | 19.1%],[ZS | 18.5%],[ZC | 9.3%],[CP | 7.3%],[ZW | 14.1%],[ZS | 12.8%],[LE | 12.2%],[CP | 9.3%],[ZC | 8.1%]
2024-09-01,[SV | 37.5%],[GD | 35.5%],[CT | 7.2%],[CF | 6.7%],[CC | 2.9%],[GD | 24.9%],[SV | 19.3%],[CT | 7.4%],[CC | 7.3%],[CF | 6.2%]
2024-10-01,[CO | 26.6%],[NG | 20.5%],[CC | 14.5%],[HO | 14.4%],[CT | 5.1%],[CO | 15.0%],[NG | 12.0%],[HO | 10.2%],[CC | 9.8%],[CF | 7.5%]
2024-11-01,[CO | 29.5%],[HO | 25.4%],[SV | 9.9%],[NG | 9.6%],[GD | 8.6%],[HO | 14.0%],[CO | 13.8%],[GD | 12.2%],[NG | 8.8%],[ZC | 7.5%]
2024-12-01,[NG | 86.5%],[CF | 3.8%],[CC | 3.2%],[SU | 3.1%],[CO | 1.7%],[NG | 35.4%],[CF | 9.9%],[CC | 7.9%],[HO | 7.2%],[SU | 6.8%]
